patient_id,error
CB165,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/CB165/CB165_raw.fif, raw_loaded=True)"
CM161,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/CM161/CM161_raw.fif, raw_loaded=True)"
CD164,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/CD164/CD164_raw.fif, raw_loaded=True)"
CJL159,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/CJL159/CJL159_raw.fif, raw_loaded=True)"
CA169,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/CA169/CA169_raw.fif, raw_loaded=True)"
BO60,"No REM/NREM pairs found. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/BO60/BO60_raw.fif, raw_loaded=True)"
BDRE44,"No REM/NREM pairs found. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/BDRE44/BDRE44_raw.fif, raw_loaded=True)"
GR108,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/GR108/GR108_raw.fif, raw_loaded=True)"
IS179,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/IS179/IS179_raw.fif, raw_loaded=True)"
GX111,"No REM/NREM pairs found. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/GX111/GX111_raw.fif, raw_loaded=True)"
MG16,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/MG16/MG16_raw.fif, raw_loaded=True)"
MFJ160,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/MFJ160/MFJ160_raw.fif, raw_loaded=True)"
LS162,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/LS162/LS162_raw.fif, raw_loaded=True)"
KH113,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/KH113/KH113_raw.fif, raw_loaded=True)"
JB173,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/JB173/JB173_raw.fif, raw_loaded=True)"
LJ41,"No REM/NREM pairs found. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/LJ41/LJ41_raw.fif, raw_loaded=True)"
LF126,"No REM/NREM pairs found. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/LF126/LF126_raw.fif, raw_loaded=True)"
MN26,"No REM/NREM pairs found. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/MN26/MN26_raw.fif, raw_loaded=True)"
PJL153,"No REM/NREM pairs found. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/PJL153/PJL153_raw.fif, raw_loaded=True)"
NAL43,"No REM/NREM pairs found. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/NAL43/NAL43_raw.fif, raw_loaded=True)"
SB178,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/SB178/SB178_raw.fif, raw_loaded=True)"
SD134,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/SD134/SD134_raw.fif, raw_loaded=True)"
TJ127,"No EMG channels found. Provide --emg_channels or set channel types to 'emg'. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/TJ127/TJ127_raw.fif, raw_loaded=True)"
RJ42,"No REM/NREM pairs found. (rec=/home/darryld/documents/EEG/preprocessed/XAI/data/RJ42/RJ42_raw.fif, raw_loaded=True)"
